Optional	[{:family=>"Etter", :given=>"Dolores"}, {:family=>"Kuncicky", :given=>"David"}, {:family=>"Moore", :given=>"Holly"}]	["Introduction to MATLAB 6"]			["2003"]
Optional	[{:family=>"Etter", :given=>"Dolores"}]	["Introduction to MATLAB for Engineers and Scientists"]			["1996"]
Optional	[{:family=>"Etter", :given=>"Dolores"}]	["Engineering Problem Solving with MATLAB"]			["2006"]
Optional	[{:family=>"Harte", :given=>"John"}]	["Consider a Spherical Cow: A Course in Environmental Problem Solving"]			["1988"]
Optional	[{:family=>"Harte", :given=>"John"}]	["Consider a Cylindrical Cow: More Adventures in Environmental Problem Solving"]			["2001"]
Optional	[{:family=>"Fay", :given=>"James A."}, {:family=>"Golomb", :given=>"Dan S."}]	["Energy and the Environment"]			["2002"]
Optional	[{:family=>"Ness", :given=>"H.C.", :particle=>"Van"}]	["Understanding Thermodynamics"]			["1983"]
Optional	[{:family=>"Smith", :given=>"E.Brian"}]	["Basic Chemical Thermodynamics"]			["2004"]
Optional	[{:family=>"Sonntag", :given=>"Richard E."}, {:family=>"Borgnakke", :given=>"Claus"}, {:family=>"Wylen", :given=>"Gordon J.", :particle=>"Van"}]	["Fundamentals of Thermodynamics"]			["2002"]
