Optional	[{:family=>"Dias", :given=>"Antonio_"}]	["Designer and Client, Eight Boat Design Commissions, from Kayak to Cruiser._"]	book		["1998"]
Optional	[{:family=>"Herreshoff", :given=>"L.Francis Capt"}]	["Nat Herreshoff, the Wizard of Bristol"]	book		["1996"]
Optional	[{:literal=>"———."}]	["The Common Sense of Yacht Design"]	book		["1946"]
Optional	[{:family=>"Chapelle", :given=>"Howard I."}]	["American Small Sailing Craft, Their Design, Development, and Construction"]			["1951"]
Optional	[{:family=>"Skene", :given=>"Norman L."}]	["Elements of Yacht Design"]	book		["1927"]
Optional	[{:family=>"Stephens", :given=>"W.P."}]	["Traditions and Memories of American Yachting"]	book		["1981"]
