category	author	title	type	collection	year	course
Optional	"[{:family=>""Bent"", :given=>""Henry A.""}]"	The Second Law: An Introduction to Classical and Statistical Thermodynamics	book		1965	167
Optional	"[{:family=>""Chandrasekhar"", :given=>""S.""}]"	An Introduction to the Study of Stellar Structure	book		1939	167
Optional	"[{:family=>""Denbigh"", :given=>""K.""}]"	The Principles of Chemical Equilibrium	book		1971	167
Optional	"[{:family=>""Devereux"", :given=>""Owen F.""}]"	Topics in Metallurgical Thermodynamics	book		1983	167
Optional	"[{:family=>""Fermi"", :given=>""Enrico""}]"	Thermodynamics	book		1936	167
Optional	"[{:family=>""Gaskell"", :given=>""David R.""}]"	Introduction to Metallurgical Thermodynamics	book		1981	167
Optional	"[{:family=>""Gibbs"", :given=>""J.Willard""}]"	On the equilibrium of heterogeneous substances	book		1876	167
Optional	"[{:family=>""Lifshitz"", :given=>""E.M.""}, {:family=>""Pitaevskii"", :given=>""L.P.""}]"	Statistical Physics			1980	167
Optional	"[{:family=>""Planck"", :given=>""Max""}]"	Treatise on Thermodynamics	book		1926	167
Optional	"[{:family=>""Shrodinger"", :given=>""Edwin""}]"	Statistical Thermodynamics			1989	167
Optional	"[{:family=>""Komanduri"", :given=>""R.""}, {:family=>""Chandrasekaran"", :given=>""N.""}, {:others=>true}]"	Molecular Dynamics (MD) Simulation of Uniaxial Tension of Some Single-Crystal Cubic Metals at Nanolevel	article-journal	International Journal of Mechanical Sciences	2001	173
Optional	"[{:family=>""Alder"", :given=>""J.""}, {:family=>""Wainwright"", :given=>""T.""}]"	Phase Transition for a Hard Sphere System	article-journal	Journal of Chemical Physics	1957	173
Optional	"[{:family=>""Rahman"", :given=>""A.""}]"	Correlations in the Motion of Atoms in Liquid Argon	article-journal	Physical Review	1964	173
Optional	"[{:family=>""Gibson"", :given=>""J.B.""}, {:others=>true}]"	Dynamics of Radiation Damage	article-journal	Physical Review	1960	173
Optional	"[{:family=>""Cleri"", :given=>""F.""}, {:others=>true}]"	Atomic-Scale Mechanism of Crack-Tip Plasticity: Dislocation Nucleation and Crack-Tip Shielding	article-journal	Physical Review Letters	1997	173
Optional	"[{:family=>""Daw"", :given=>""M.""}, {:family=>""Baskes"", :given=>""M.""}]"	Embedded-Atom Method: Derivation and Application to Impurities	article-journal	Physical Review B	1984	173
Optional	"[{:family=>""Duin"", :given=>""A."", :particle=>""Van""}, {:others=>true}]"	ReaxFF: A Reactive Force Field for Hydrocarbons	article-journal	Journal of Chemical Physics A	2001	173
Optional	"[{:family=>""Buehler"", :given=>""M.""}, {:others=>true}]"	The Dynamical Complexity of Work-Hardening: A Large-Scale Molecular Dynamics Simulation	article-journal	Acta Mechanica Sinica	2005	173
Optional	"[{:family=>""Buehler"", :given=>""M.""}]"	Hierarchical Chemo-Nanomechanics of Proteins: Entropic Elasticity	article-journal	Journal of Mechanics of Materials and Structures	2007	173
Optional	"[{:family=>""Ackbarow"", :given=>""T.""}, {:others=>true}]"	Hierarchies	article-journal	Proceedings of the National Academy of Sciences	2007	173
Optional	"[{:family=>""Ackbarow"", :given=>""T.""}, {:others=>true}]"	Alpha-Helical Protein Networks are Self-Protective and Flaw-Tolerant	article-journal	PLoS ONE	2009	173
Required	"[{:family=>""Vlachos"", :given=>""D.""}, {:family=>""Schmidt"", :given=>""L.""}, {:others=>true}]"	Structures of Small Metal Clusters. I. Low Temperature Behavior	article-journal	Journal of Chemical Physics	1992	173
Required	"[{:family=>""Sanchez"", :given=>""J.""}, {:others=>true}]"	Modeling of γ/γ′ Phase Equilibrium in the Nickel-Aluminum System	article-journal	Acta Metallurgica	1984	173
Required	"[{:family=>""Sen"", :given=>""D.""}, {:family=>""Buehler"", :given=>""M.""}]"	Chemical Complexity in Mechanical Deformation of Metals	article-journal	International Journal for Multiscale Computational Engineering	2007	173
Required	"[{:family=>""Buehler"", :given=>""M.""}, {:others=>true}]"	Multi-Paradigm Modeling of Fracture of a Silicon Single Crystal Under Mode II Shear Loading	article-journal	J_ournal of Algorithms & Computational Technology_	2008	173
Required	"[{:family=>""Buehler"", :given=>""M.""}, {:others=>true}]"	Multiparadigm Modeling of Dynamical Crack Propagation in Silicon Using a Reactive Force Field	article-journal	_Physical Review Letter_s	2006	173
Required	"[{:family=>""Buehler"", :given=>""M.""}, {:others=>true}]"	Threshold Crack Speed Controls Dynamical Fracture of Silicon Single Crystals	article-journal	Physical Review Letters	2007	173
Required	"[{:family=>""Gautieri"", :given=>""A.""}, {:others=>true}]"	Hierarchical Structure and Nanomechanics of Collagen Microfibrils from the Atomistic Scale Up	article-journal	Nano Letters	2011	173
Required	"[{:family=>""Qin"", :given=>""Z.""}, {:others=>true}]"	Hierarchical Structure Controls Nanomechanical Properties of Vimentin Intermediate Filaments	article-journal	PLOS ONE	2009	173
Required	"[{:family=>""Lardner"", :given=>""T.J.""}, {:family=>""Archer"", :given=>""R.R.""}, {:family=>""Crandall"", :given=>""S.H.""}, {:family=>""Dahl"", :given=>""N.C.""}]"	An Introduction to the Mechanics of Solids			1999	66
Optional	"[{:family=>""Dowling"", :given=>""N.E.""}]"	Mechanical Behavior of Materials			1998	66
Optional	"[{:family=>""Ashby"", :given=>""M.F.""}, {:family=>""Jones"", :given=>""D.R.H.""}]"	Engineering Materials 1: An Introduction to their Properties and Applications			1996	66
Optional	"[{:family=>""Pratap"", :given=>""Rudra""}]"	Getting Started with MATLAB®			2001	66
Optional	"[{:family=>""Bowman"", :given=>""Keith""}]"	Mechanical Behavior of Materials			2003	66
Optional	"[{:family=>""Bedford"", :given=>""A.""}, {:family=>""Fowler"", :given=>""W.""}]"	Dynamics	book		1995	72
Optional	"[{:family=>""Palm"", :given=>""W.J.Modeling"", :suffix=>""III""}]"	Analysis	book			72
Required	"[{:family=>""Ulm"", :given=>""F.-J.""}, {:family=>""Coussy"", :given=>""O.""}]"	Solid Mechanics	chapter	Mechanics and Durability of Solids	2003	8
Required	"[{:family=>""Chaturvedi"", :given=>""Swati""}, {:family=>""Ochsendorf"", :given=>""John""}]"	Global Environmental Impacts due to Cement and Steel	article-journal	Structural Engineering International	2004-08	62
Required	"[{:family=>""Dholakia"", :given=>""R.""}, {:family=>""Wackernagel"", :given=>""M.""}]"	Ecological Footprint Accounts: Moving Sustainability from Concept to Measurable Goal	book		1999-10	62
Required	"[{:family=>""Ford"", :given=>""Edward""}]"	The Theory and Practice of Impermanence	article-journal	Harvard Design Magazine	1997	62
Required	"[{:family=>""Hawken"", :given=>""Paul""}, {:family=>""Lovins"", :given=>""Amory""}, {:family=>""Lovins"", :given=>""L.Hunter""}]"	Building Blocks	chapter	Chapter 5 in Natural Capitalism: Creating the Next Industrial Revolution	1999	62
Required		ISO: 14040 “Environmental management — Life Cycle Assessment — Principles and Framework	book		1997	62
Required	"[{:given=>""L.E.E.D.""}]"	Building Rating System for New Construction and Major Renovations	chapter	Version 2.1	2002	62
Required	"[{:family=>""Matos"", :given=>""G.""}, {:family=>""Wagner"", :given=>""L.""}]"	Consumption of Materials in the United States	article-journal	Annual Review of Energy and the Environment	1998-11	62
Required	"[{:family=>""Meadows"", :given=>""Donella H.""}, {:family=>""Randers"", :given=>""Jorgen""}, {:family=>""Meadows"", :given=>""Dennis L.""}]"	Author’s Preface” and “Overshoot.” Chapter 1 in Limits to Growth: The 30-Year Update			2004-06-01	62
Required	"[{:family=>""Ochsendorf"", :given=>""J.""}]"	Sustainable Structural Design: Lessons from History	article-journal	Structural Engineering International	2004-08	62
Required	"[{:family=>""Womack"", :given=>""James P.""}, {:family=>""Jones"", :given=>""Daniel T.""}]"	The Value Stream	chapter	Chapter 2 in Lean Thinking	1996-09-09	62
Required	"[{:family=>""Knowles"", :given=>""J.K.""}]"	Linear Vector Spaces and Cartesian Tensors			1998	89
Required	"[{:family=>""Abeyaratne"", :given=>""Rohan""}]"	A Brief Review of Some Mathematical Preliminaries	chapter	Lecture Notes on the Mechanics of Elastic Solids		89
Optional	"[{:family=>""Gel’fand"", :given=>""I.M.""}]"	Lectures on Linear Algebra			1989	89
Optional	"[{:family=>""Halmos"", :given=>""P.R.""}]"	Finite Dimensional Vector Spaces			1958	89
Optional	"[{:family=>""Gel’fand"", :given=>""I.M.""}, {:family=>""Fomin"", :given=>""S.V.""}]"	Calculus of Variations	book		1963	89
Optional	"[{:family=>""Giaquinta"", :given=>""M.""}, {:family=>""Hilderbrandt"", :given=>""S.""}]"	Calculus of Variations I			1996	89
Optional	"[{:family=>""Troutman"", :given=>""J.L.""}]"	Variational Calculus with Elementary Convexity			1983	89
Optional	"[{:family=>""Ashby"", :given=>""M.""}]"	Materials Selection in Mechanical Design			2005	177
Optional	"[{:family=>""Dieter"", :given=>""George Ellwood""}]"	Engineering Design: A Materials and Processing Approach			1999	177
Optional	"[{:family=>""Faupel"", :given=>""Joseph Herman""}]"	Engineering Design			1981	177
Optional	"[{:family=>""McCrum"", :given=>""N.""}]"	Principles of Polymer Engineering			1997	177
Optional	"[{:family=>""Planchard"", :given=>""David C.""}, {:family=>""Planchard"", :given=>""Marie P.""}]"	Engineering Design with Solidworks			2000	177
Required	"[{:family=>""Chen"", :given=>""Gang""}]"	Nanoscale Energy Transport and Conversion			2005	163
Required	"[{:family=>""Goldsmid"", :given=>""H.J.""}]"	Thermoelectric Refrigeration	book		1964	163
Required	"[{:family=>""Bell"", :given=>""Lon E.""}]"	Cooling	article-journal	Science	2008-09-12	163
Required	"[{:family=>""Vining"", :given=>""Cronin B.""}]"	An Inconvenient Truth About Thermoelectrics	article-journal	Nature Materials	2009-02	163
Required	"[{:family=>""Dresselhaus"", :given=>""Mildred S.""}, {:others=>true}]"	New Directions for Low-Dimensional Thermoelectric Materials	article-journal	Advanced Materials	2007	163
Required	"[{:family=>""Poudel"", :given=>""Bed""}, {:others=>true}]"	High-Thermoelectric Performance of Nanostructured Bismuth Antimony Telluride Bulk Alloys	article-journal	Science	2008-05-02	163
Required	"[{:family=>""Heremans"", :given=>""Joseph P.""}, {:others=>true}]"	Enhancement of Thermoelectric Efficiency in PbTe by Distortion of the Electronic Density of States	article-journal	Science	2008-07-25	163
