Required	[{:family=>"Priscu", :given=>"John C."}, {:family=>"Adams", :given=>"Edward E."}, {:family=>"Lyons", :given=>"W.Berry"}, {:family=>"Voytek", :given=>"Mary A."}, {:family=>"Mogk", :given=>"David W."}, {:family=>"Brown", :given=>"Robert L."}, {:family=>"McKay", :given=>"Christopher P."}, {:family=>"Takacs", :given=>"Cristina D."}, {:family=>"Welch", :given=>"Kathy A."}, {:family=>"Wolf", :given=>"Craig F."}, {:family=>"Kirshtein", :given=>"Julie D."}, {:family=>"Avci", :given=>"Recep"}]	["Geomicrobiology of Subglacial Ice Above Lake Vostok, Antarctica"]	article-journal	["Science"]	["1999-12-10"]
Required	[{:family=>"Overpeck", :given=>"Jonathan T."}, {:family=>"Otto-Bliesner", :given=>"Bette L."}, {:family=>"Miller", :given=>"Gifford H."}, {:family=>"Muhs", :given=>"Daniel R."}, {:family=>"Alley", :given=>"Richard B."}, {:family=>"Kiehl", :given=>"Jeffrey T."}]	["Paleoclimatic Evidence for Future Ice-sheet Instability and Rapid Sea-level Rise"]	article-journal	["Science"]	["2006"]
Required		["ACIA: Impacts of a warming Arctic, Arctic Climate Impact Assessment"]	book		["2004"]
Required	[{:family=>"Shuman", :given=>"C.A."}, {:family=>"Zwally", :given=>"H.J."}, {:family=>"Schutz", :given=>"B.E."}, {:family=>"Brenner", :given=>"A.C."}, {:family=>"DiMarzio", :given=>"J.P."}, {:family=>"Suchdeo", :given=>"V.P."}, {:family=>"Fricker", :given=>"H.A."}]	["ICESat Antarctic Elevation Data: Preliminary Precision and Accuracy Assessment", "L07501"]	article-journal	["Geophysical Research Letters"]	["2006"]
Required	[{:family=>"Schulson", :given=>"Erland M."}]	["Brittle Failure of Ice"]	article-journal	["Engineering Fracture Mechanics"]	["2001"]
Required	[{:literal=>"———."}]	["The Fracture of Water Ice Ih: A Short Overview"]	article-journal	["Meteoritics and Planetary Science"]	["2006-04"]
Required	[{:family=>"Hoffman", :given=>"Paul F."}, {:family=>"Schrag", :given=>"Daniel P."}]	["The Snowball Earth Hypothesis: Testing the Limits of Global Change"]	article-journal	["Terra Nova"]	["2002"]
Required	[{:family=>"Pollard", :given=>"David"}, {:family=>"Kasting", :given=>"James F."}]	["Snowball Earth: A Thin-ice Solution with Flowing Sea Glaciers", "C07010"]	article-journal	["Journal of Geophysical Research"]	["2005"]
Required	[{:family=>"Donnadieu", :given=>"Yannick"}, {:family=>"Fluteau", :given=>"Frederic"}, {:family=>"Ramstein", :given=>"Gilles"}, {:family=>"Ritz", :given=>"Catherine"}, {:family=>"Besse", :given=>"Jean"}]	["Is There a Conflict Between the Neoproterozoic Glacial Deposits and the Snowball Earth Interpretation: An Improved Understanding with Numerical Modeling"]	article-journal	["Earth and Planetary Science Letters"]	["2003"]
Required	[{:family=>"Flowers", :given=>"Gwenn E."}, {:family=>"Björnsson", :given=>"Helgi"}, {:family=>"Palsson", :given=>"Finnur"}]	["A Coupled Sheet-conduit Mechanism for Jokulhlaup Propagation"]	article-journal	["Geophysical Research Letters"]	
Required	[{:family=>"Björnsson", :given=>"Helgi"}, {:family=>"Einarsson", :given=>"Pall"}]	["Volcanoes Beneath Vatnajokull, Iceland: Evidence from Radio Echo-sounding Earthquakes and Jokulhlaups"]	article-journal	["Jokull"]	["1990"]
Required	[{:family=>"Björnsson", :given=>"Helgi"}, {:family=>"Palsson", :given=>"Finnur"}, {:family=>"Guomundsson", :given=>"Magnus T."}]	["Surface and Bedrock Topography of the Myrdalsjokull Ice Cap"]	article-journal	["Jokull"]	
Required	[{:family=>"Björnsson", :given=>"Helgi"}]	["Subglacial Lakes and Jokulhlaups in Iceland"]	article-journal	["Global and Planetary Change"]	["2002"]
Required	[{:family=>"Hemming", :given=>"Sidney R."}]	["Heinrich Events: Massive Late Pleistocene Detritus Layers Of The North Atlantic and Their Global Climate Imprint"]	article-journal	["Review of Geophysics"]	["2004"]
Optional	[{:family=>"Tsemekhman", :given=>"V."}, {:family=>"Wettlaufer", :given=>"J.S."}]	["Singularities, Shocks, and Instabilities in Interface Growth"]	chapter	["Studies In Applied Mathematics 110"]	["2003"]
Optional	[{:family=>"Ekstrom", :given=>"Goran"}, {:family=>"Nettles", :given=>"Meredith"}, {:family=>"Abers", :given=>"Geoffrey A."}]	["Glacial Earthquakes"]	article-journal	["Science"]	["2003-10-24"]
Optional	[{:family=>"Priscu", :given=>"John C."}, {:family=>"Christner", :given=>"Brent C."}, {:family=>"Foreman", :given=>"Christine M."}, {:family=>"Royston-Bishop", :given=>"George"}]	["Biological Material in Ice Cores"]	chapter	["Revision Submitted to Encyclopedia of Quaternary Sciences"]	["2006-01-03"]
Optional	[{:family=>"Doran", :given=>"Peter T."}, {:family=>"Fritsen", :given=>"Christian H."}, {:family=>"McKay", :given=>"Christopher P."}, {:family=>"Priscu", :given=>"John C."}, {:family=>"Adams", :given=>"Edward E."}]	["Formation and Character of an Ancient 19-m Ice Cover and Underlying Trapped Brine in an “Ice-sealed” East Antarctic Lake"]	article-journal	["PNAS"]	["2003-01-07"]
Optional	[{:family=>"Siegert", :given=>"Martin J."}, {:family=>"Ellis-Evans", :given=>"J.Cynan"}, {:family=>"Tranter", :given=>"Martyn"}, {:family=>"Mayer", :given=>"Christoph"}, {:family=>"Petit", :given=>"Jean-Robert"}, {:family=>"Salamatink", :given=>"Andrey"}, {:family=>"Priscu", :given=>"John C."}]	["Physical, Chemical and Biological Processes in Lake Vostok and Other Antarctic Subglacial Lakes"]	article-journal	["Nature"]	["2001-12-06"]
Optional	[{:family=>"Priscu", :given=>"J.C."}, {:family=>"Kennicutt", :given=>"M.C.", :suffix=>"II"}, {:family=>"Bell", :given=>"R.E."}, {:family=>"Bulat", :given=>"S.A."}, {:family=>"Ellis-Evans", :given=>"J.C."}, {:family=>"Lukin", :given=>"V.V."}, {:family=>"Petit", :given=>"J.-R."}, {:family=>"Powell", :given=>"R.D."}, {:family=>"Siegert", :given=>"M.J."}, {:family=>"Tabacco", :given=>"I."}]	["Exploring Subglacial Antarctic Lake Environments"]	article-journal	["EOS"]	["2005-05-17"]
Optional		["Arctic Climate Impact Assessment"]	book		["2005"]
Optional		["Mass Balance of the Cryosphere. Observations and Modeling of Contemporary and Future Changes"]	book		["2004"]
Optional	[{:family=>"Flannery", :given=>"Tim"}]	["The Weather Makers. How Man is Changing the Climate and What it Means for Life on Earth"]	book		["2005"]
